id,type,name,state,region,lat,lon,notes
TXLM-TX1,transplant_center,Covenant Medical Center,Texas,Region  4,,,
DEAI-TX1,transplant_center,Nemours Children's Hospital Delaware,Delaware,Region  2,,,
FLHM-TX1,transplant_center,Halifax Health,Florida,Region  3,,,
MOCG-TX1,transplant_center,Cardinal Glennon Children's Hospital,Missouri,Region  8,,,
NDMC-TX1,transplant_center,Sanford Bismarck Medical Center,North Dakota,Region  7,,,
FLJD-TX1,transplant_center,Memorial Regional Hospital/Joe DiMaggio Children's Hospital,Florida,Region  3,,,
TXCT-TX1,transplant_center,Seton Medical Center Austin,Texas,Region  4,,,
TXDS-TX1,transplant_center,Dell Seton Medical Center at The University of Texas at Austin,Texas,Region  4,,,
ARCH-TX1,transplant_center,Arkansas Children's Hospital,Arkansas,Region  3,,,
PAPH-TX1,transplant_center,UPMC Hamot,Pennsylvania,Region  2,,,
TXCF-TX1,transplant_center,Cook Children's Medical Center,Texas,Region  4,,,
TXDC-TX1,transplant_center,Driscoll Children's Hospital,Texas,Region  4,,,
IAVA-TX1,transplant_center,The Iowa City VA Health Care System,Iowa,Region  8,,,
MIDV-TX1,transplant_center,Corewell Health Helen DeVos Children's Hospital,Michigan,Region  10,,,
NECH-TX1,transplant_center,Children’s Nebraska,Nebraska,Region  8,,,
ALVA-TX1,transplant_center,,,,,,
FLAC-TX1,transplant_center,Johns Hopkins All Children's Hospital,Florida,Region  3,,,
OKCM-TX1,transplant_center,Children's Hospital of Oklahoma,Oklahoma,Region  4,,,
PRCC-TX1,transplant_center,Cardiovascular Center of Puerto Rico and the Caribbean,Puerto Rico,Region  3,,,
MNCM-TX1,transplant_center,Children's Minnesota,Minnesota,Region  7,,,
PASC-TX1,transplant_center,St. Christopher's Hospital for Children,Pennsylvania,Region  2,,,
VACH-TX1,transplant_center,Children's Hospital of the King's Daughters,Virginia,Region  11,,,
